"Customer Name","Product Line","Product Name","Product Description","Quantity","Quantity Type","Purchase Amount (CD)","Purchase Start Date","Order Number","Contract Start Date","Contract End Date","Contract ARR (CD)","SRs","CSI#","Purchase Level","Purchase Type"
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine FLEX X6-2 Database Server","X6-2,1U DATABASE SERVER,ED X6","1","N/A","0","2017-05-31","35015813","2021-07-01","2022-06-30","0","0","21207626","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine Expansion Switch Kit","RACK 42U-1200 W/HEAVY DUTY PAL","1","N/A","0","2017-05-31","35015813","2021-07-01","2022-06-30","0","0","21207626","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine FLEX X6-8 Storage Server","X6-2L,2U,HIGH CAPACITY SERVER,ED X6","1","N/A","0","2017-05-31","35015813","2021-07-01","2022-06-30","0","0","21207626","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine FLEX X6-8 Storage Server","X6-2L,2U,HIGH CAPACITY SERVER,ED X6","1","N/A","0","2017-05-31","35015813","2021-07-01","2022-06-30","0","0","21207626","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine FLEX X6-8 Storage Server","X6-2L,2U,HIGH CAPACITY SERVER,ED X6","1","N/A","0","2017-05-31","35015813","2021-07-01","2022-06-30","0","0","21207626","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine FLEX X6-8 Storage Server","X6-2L,2U,HIGH CAPACITY SERVER,ED X6","1","N/A","0","2017-05-31","35015813","2021-07-01","2022-06-30","0","0","21207626","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine FLEX X6-8 Storage Server","X6-2L,2U,HIGH CAPACITY SERVER,ED X6","1","N/A","0","2017-05-31","35015813","2021-07-01","2022-06-30","0","0","21207626","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine Expansion Switch Kit","ASSY,IB-SW,NM2-36P MANAGED,W/NEW KONTRON","1","N/A","0","2017-05-31","35015813","2021-07-01","2022-06-30","0","0","21207626","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine Expansion Switch Kit","ASSY,IB-SW,NM2-36P MANAGED,W/NEW KONTRON","1","N/A","0","2017-05-31","35015813","2021-07-01","2022-06-30","0","0","21207626","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine X6-2 Hardware","Exadata Database Machine X6-2: model family","1","N/A","0","2017-05-31","35015813","2021-07-01","2022-06-30","0","1","21207626","",""
